yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs,jsdm,jxlmc
船舶海洋与建筑工程学院,许劲松,副教授                  ,海洋结构物动力学                                  ,001-(2016-2017-1)NA317(教学班),34,2,"行课安排为第1-8周,其中:
星期一  第3节--第4节
东中院2-302(1-8周) 许劲松(1-8周)
星期三  第3节--第4节
东中院2-302(1-8周) 许劲松(1-8周)",限船舶与海洋工程专业学生修读                                                                                                                                                                                                                                        ,2013,2016-2017,1,25,东中院2-302,闵行东中院      
船舶海洋与建筑工程学院,许劲松,副教授                  ,船舶与海洋工程自主创新实验                        ,001-(2016-2017-1)NA322(教学班),51,3,"行课安排为第1-16周,其中:
星期五  第6节--第8节
 不安排教室 许劲松(1-16周)",限船舶与海洋工程、轮机工程专业学生修读                                                                                                                                                                                                                              ,2014,2016-2017,1,30,,
船舶海洋与建筑工程学院,朱仁传,教授                    ,船舶原理（1－静力学与阻力）,002-(2016-2017-1)NA327(教学班),51,3,"行课安排为第1-12周,其中:
星期一  第3节--第4节
东下院101(1-12周) 朱仁传(1-12周)
星期四  第1节--第2节
东下院101(1-12周) 朱仁传(1-12周)","全英文授课,限船工专业                                                                                                                                                                                                                                               ",2014,2016-2017,1,16,东下院101,闵行东下院      
船舶海洋与建筑工程学院,朱仁传,教授                    ,高性能船理论                                      ,001-(2016-2017-1)NA410(教学班),34,2,"行课安排为第1-8周,其中:
星期一  第9节--第10节
东中院2-302(1-8周) 朱仁传(1-8周)
星期四  第3节--第4节
东中院2-302(1-8周) 朱仁传(1-8周)",限船舶与海洋工程专业学生修读                                                                                                                                                                                                                                        ,2013,2016-2017,1,34,东中院2-302,闵行东中院      
船舶海洋与建筑工程学院,姜静,副教授                  ,建筑结构（1）,001-(2016-2017-1)AR301(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
东下院305(1-16周).姜静","限建筑
                                                                                                                                                                                                                                                            ",2014,2016-2017,1,36,东下院305,闵行东下院      
船舶海洋与建筑工程学院,姜静,副教授                  ,混凝土结构课程设计                                ,001-(2016-2017-1)CV358(教学班),32,2,"行课安排为第1-8周,其中:
星期三  第3节--第4节
东中院1-102(1-8周) 何军(1-8周)
东中院1-102(1-8周) 姜静(1-8周)
星期五  第7节--第8节
东中院1-102(1-8周) 何军(1-8周)
东中院1-102(1-8周) 姜静(1-8周)","限土木
                                                                                                                                                                                                                                                            ",2013,2016-2017,1,37,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,方从启,副教授                  ,桥梁工程                                          ,001-(2016-2017-1)CV427(教学班),32,2,"行课安排为第9周 --- 第16周,其中:
星期二  第7节--第8节
东中院1-102(9-16周).方从启 副教授
星期五  第1节--第2节
东中院1-102(9-16周).方从启 副教授","限土木
                                                                                                                                                                                                                                                            ",2013,2016-2017,1,27,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,薛雷平,教授                    ,工程流体力学（A类）                               ,005-(2016-2017-1)EM003(教学班),51,3,"行课安排为第1周 --- 第12周,其中:
星期二  第3节--第4节
东下院503(1-12周).薛雷平
东下院503(1-12周).宫兆新
星期四  第3节--第4节
东下院503(1-12周).薛雷平
东下院503(1-12周).宫兆新",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,36,东下院503,闵行东下院      
船舶海洋与建筑工程学院,薛雷平,教授                    ,流体力学（C类）（2）,002-(2016-2017-1)EM301(教学班),48,3,"行课安排为第1-12周,其中:
星期二  第1节--第2节
东上院103(1-12周) 陈瑛(1-12周)
东上院103(1-12周) 薛雷平(1-12周)
星期四  第1节--第2节
东上院103(1-12周) 陈瑛(1-12周)
东上院103(1-12周) 薛雷平(1-12周)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,19,东上院103,闵行东上院      
船舶海洋与建筑工程学院,陈龙珠,教授                    ,防灾工程学导论                                    ,001-(2016-2017-1)CV343(教学班),32,2,"行课安排为第9-16周,其中:
星期一  第7节--第8节
东下院302(9-16周) 陈龙珠(9-16周)
星期三  第1节--第2节
东下院302(9-16周) 陈龙珠(9-16周)","限土木
                                                                                                                                                                                                                                                            ",2014,2016-2017,1,19,东下院302,闵行东下院      
船舶海洋与建筑工程学院,于洪洁,副教授                  ,理论力学（E类）                                   ,005-(2016-2017-1)EM210(教学班),64,4,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
上院200(1-16周).于洪洁
星期五  第1节--第2节
上院200(1-16周).于洪洁",仅限工科平台                                                                                                                                                                                                                                                        ,2015,2016-2017,1,149,上院200,闵行上院        
船舶海洋与建筑工程学院,李朝阳,研究员                  ,城市规划原理                                      ,001-(2016-2017-1)AR306(教学班),32,2,"行课安排为第1-8周,其中:
星期二  第1节--第2节
东中院1-104(1-8周) 李朝阳(1-8周)
星期五  第7节--第8节
东中院1-104(1-8周) 李朝阳(1-8周)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,35,东中院1-104,闵行东中院      
船舶海洋与建筑工程学院,李喆,高级实验师              ,现代结构实验技术                                  ,001-(2016-2017-1)NA462(教学班),34,2,"行课安排为第1-8周,其中:
星期一  第7节--第8节
东中院2-302(1-8周) 李喆(1-8周)
东中院2-302(1-8周) 蔡忠华(1-8周)","限船舶与海洋工程、轮机工程专业学生修读,合班上;实验学时不排教室                                                                                                                                                                                                      ",2013,2016-2017,1,7,东中院2-302,闵行东中院      
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,外国古代建筑史                                    ,001-(2016-2017-1)AR221(教学班),32,2,"行课安排为第1-16周,其中:
星期四  第3节--第4节
东中院1-104(1-16周) 赵冬梅(1-16周)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,39,东中院1-104,闵行东中院      
船舶海洋与建筑工程学院,张卫刚,教授                    ,工程力学实验（1）,004-(2016-2017-1)EM205(教学班),16,1,"行课安排为第1周 --- 第9周,其中:
星期四  第9节--第10节
.(1-9周).张卫刚 教授",第1周周一910节，5个班集中上绪论课，教室中院100,2015,2016-2017,1,12,,
船舶海洋与建筑工程学院,孙红,副教授                  ,工程地质                                          ,001-(2016-2017-1)CV302(教学班),32,2,"行课安排为第1-8周,其中:
星期二  第3节--第4节
东下院302(1-8周) 孙红(1-8周)
星期五  第7节--第8节
东下院302(1-8周) 孙红(1-8周)","限土木
                                                                                                                                                                                                                                                            ",2014,2016-2017,1,46,东下院302,闵行东下院      
船舶海洋与建筑工程学院,孙红,副教授                  ,相似理论与模型试验                                ,001-(2016-2017-1)CV419(教学班),16,1,"行课安排为第9-16周,其中:
星期二  第3节--第4节
东中院1-102(9-16周) 孙红(9-16周)","限土木
                                                                                                                                                                                                                                                            ",2013,2016-2017,1,8,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,混凝土结构原理                                    ,001-(2016-2017-1)CV216(教学班),64,4,"行课安排为第1-16周,其中:
星期一  第1节--第2节
东下院302(1-16周) 宋晓冰(1-16周)
星期四  第7节--第8节
东下院302(1-16周) 宋晓冰(1-16周)","限土木
                                                                                                                                                                                                                                                            ",2014,2016-2017,1,49,东下院302,闵行东下院      
船舶海洋与建筑工程学院,蔡国平,教授                    ,理论力学（E类）                                   ,004-(2016-2017-1)EM210(教学班),64,4,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
东上院201(1-16周).蔡国平
星期五  第1节--第2节
东上院201(1-16周).蔡国平",仅限工科平台                                                                                                                                                                                                                                                        ,2015,2016-2017,1,150,东上院201,闵行东上院      
船舶海洋与建筑工程学院,蔡国平,教授                    ,振动理论                                          ,001-(2016-2017-1)EM302(教学班),51,3,"行课安排为第1周 --- 第16周,其中:
单周
星期三  第1节--第2节
东中院4-405(1-16周).蔡国平
星期五  第7节--第8节
东中院4-405(1-16周).蔡国平
双周
星期三  第1节--第2节
东中院4-405(1-16周).蔡国平","限力学
                                                                                                                                                                                                                                                            ",2014,2016-2017,1,18,东中院4-405,闵行东中院      
船舶海洋与建筑工程学院,王迎光,高级工程师              ,船舶原理（1－静力学与阻力）,001-(2016-2017-1)NA327(教学班),51,3,"行课安排为第1周 --- 第12周,其中:
星期一  第3节--第4节
东下院106(1-12周).王迎光
东下院106(1-12周).张怀新
星期四  第1节--第2节
东下院106(1-12周).王迎光
东下院106(1-12周).张怀新",王迎光双语授课，张怀新中文授课；限船工专业                                                                                                                                                                                                                          ,2014,2016-2017,1,50,东下院106,闵行东下院      
船舶海洋与建筑工程学院,何军,副教授                  ,钢筋混凝土结构                                    ,001-(2016-2017-1)CV426(教学班),48,3,"行课安排为第1周 --- 第12周,其中:
星期一  第1节--第2节
东中院2-101(1-12周).何军
星期三  第1节--第2节
东中院2-101(1-12周).何军","限力学

                                                                                                                                                                                                                                                          ",2013,2016-2017,1,24,东中院2-101,闵行东中院      
船舶海洋与建筑工程学院,周岱,教授                    ,土木建筑与可持续发展                              ,001-(2016-2017-1)SP208(教学班),16,1,"行课安排为第8周 --- 第11周,其中:
星期二  第9节--第10节
东中院4-105(8-11周).包艳
东中院4-105(8-11周).周岱
星期四  第7节--第8节
东中院4-105(8-11周).包艳
东中院4-105(8-11周).周岱",                                                                                                                                                                                                                                                                    ,2016,2016-2017,1,18,东中院4-105,闵行东中院      
船舶海洋与建筑工程学院,李四平,副教授                  ,工程力学（1-理论力学部分）,002-(2016-2017-1)EM005(教学班),42,2.5,"行课安排为第1周 --- 第14周,其中:
单周
星期三  第1节--第2节
中院313(1-14周).李四平
星期五  第3节--第4节
中院313(1-14周).李四平
双周
星期三  第1节--第2节
中院313(1-14周).李四平",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,31,中院313,闵行中院        
船舶海洋与建筑工程学院,李四平,副教授                  ,工程力学（1-理论力学部分）,002-(2016-2017-1)EM019(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期五  第1节--第2节
下院201(1-16周).李四平",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,28,下院201,闵行下院        
船舶海洋与建筑工程学院,李四平,副教授                  ,理论力学（C类）                                   ,001-(2016-2017-1)EM151(教学班),64,4,"行课安排为第3周 --- 第13周,其中:
星期三  第11节--第13节
上院307(3-13周).李四平
星期五  第11节--第13节
上院307(3-13周).李四平",重修班，仅供不及格同学修读。                                                                                                                                                                                                                                        ,2016,2016-2017,1,26,上院307,闵行上院        
船舶海洋与建筑工程学院,李四平,副教授                  ,材料力学                                          ,001-(2016-2017-1)EM207(教学班),48,3,"行课安排为第3周 --- 第11周,其中:
星期二  第11节--第13节
上院101(3-11周).李四平
星期四  第11节--第13节
上院101(3-11周).李四平",重修班，仅供不及格同学修读。                                                                                                                                                                                                                                        ,2016,2016-2017,1,40,上院101,闵行上院        
船舶海洋与建筑工程学院,孙峰,高级工程师              ,工程力学实验（1）,003-(2016-2017-1)EM205(教学班),16,1,"行课安排为第1周 --- 第9周,其中:
星期二  第9节--第10节
.(1-9周).孙峰 高级工程师",第1周周一910节，5个班集中上绪论课，教室中院100,2015,2016-2017,1,15,,
