yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs,jsdm,jxlmc
船舶海洋与建筑工程学院,姜静,副教授                  ,混凝土结构设计                                    ,001-(2017-2018-2)CV357(教学班),48,3,"行课安排为第1-12周,其中:
星期一  第1节--第2节
东中院1-201(1-12周) 姜静(1-12周)
星期四  第3节--第4节
东中院1-201(1-12周) 姜静(1-12周)",限土木工程                                                                                                                                                                                                                                                          ,2015,2017-2018,2,24,东中院1-201,闵行东中院      
船舶海洋与建筑工程学院,于洪洁,副教授                  ,毕业设计（论文）（工程力学）                      ,001-(2017-2018-2)BS003(教学班),340,20,"行课安排为第1-16周,其中:
星期六  第7节--第8节
 不安排教室 于洪洁(1-16周)","限工程力学专业
                                                                                                                                                                                                                                                    ",2014,2017-2018,2,17,,
船舶海洋与建筑工程学院,于洪洁,副教授                  ,机械振动                                          ,001-(2017-2018-2)EM309(教学班),32,2,"行课安排为第1-8周,其中:
星期二  第9节--第10节
东中院1-203(1-8周) 于洪洁(1-8周)
星期四  第1节--第2节
东中院1-203(1-8周) 于洪洁(1-8周)","限工程力学专业，双语授课
                                                                                                                                                                                                                                          ",2015,2017-2018,2,20,东中院1-203,闵行东中院      
船舶海洋与建筑工程学院,叶冠林,教授                    ,给水排水工程                                      ,001-(2017-2018-2)CV317(教学班),32,2,"行课安排为第9-16周,其中:
星期二  第1节--第2节
东中院1-201(9-16周) 叶冠林(9-16周)
星期四  第7节--第8节
东中院1-201(9-16周) 叶冠林(9-16周)",限土木工程                                                                                                                                                                                                                                                          ,2015,2017-2018,2,25,东中院1-201,闵行东中院      
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,外国近现代建筑史                                  ,001-(2017-2018-2)AR222(教学班),32,2,"行课安排为第1-8周,其中:
星期一  第1节--第2节
东中院1-105(1-8周) 赵冬梅(1-8周)
星期四  第3节--第4节
东中院1-105(1-8周) 赵冬梅(1-8周)",                                                                                                                                                                                                                                                                    ,2015,2017-2018,2,20,,
船舶海洋与建筑工程学院,张卫刚,教授                    ,力学改变生活                                      ,001-(2017-2018-2)AV012(教学班),32,2,"行课安排为第1-16周,其中:
星期二  第9节--第10节
东下院210(1-16周) 余征跃(1-16周)
东下院210(1-16周) 张卫刚(1-16周)",                                                                                                                                                                                                                                                                    ,0,2017-2018,2,27,东下院210,闵行东下院      
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,建筑力学（2）,001-(2017-2018-2)AR112(教学班),48,3,"行课安排为第1-12周,其中:
星期三  第1节--第2节
下院411(1-12周) 宋晓冰(1-12周)
下院411(1-12周) 陈思佳(1-12周)
星期五  第3节--第4节
下院411(1-12周) 宋晓冰(1-12周)
下院411(1-12周) 陈思佳(1-12周)",限建筑专业                                                                                                                                                                                                                                                          ,2016,2017-2018,2,39,下院411,闵行下院        
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,结构模型设计与制作                                ,001-(2017-2018-2)CV217(教学班),48,3,"行课安排为第1-16周,其中:
星期六  第3节--第4节
 不安排教室 宋晓冰(1-16周)
 不安排教室 陈思佳(1-16周)","限土木工程,面向全校学生开设                                                                                                                                                                                                                                         ",2016,2017-2018,2,40,,
船舶海洋与建筑工程学院,陈兵,研究员                  ,建筑材料与施工                                    ,001-(2017-2018-2)AR312(教学班),32,2,"行课安排为第1-16周,其中:
星期二  第3节--第4节
东中院1-103(1-16周) 陈兵(1-16周)",限建筑系                                                                                                                                                                                                                                                            ,2014,2017-2018,2,36,东中院1-103,闵行东中院      
船舶海洋与建筑工程学院,陈兵,研究员                  ,建筑材料                                          ,001-(2017-2018-2)CV203(教学班),48,3,"行课安排为第1-12周,其中:
星期一  第9节--第10节
下院105(1-12周) 陈兵(1-12周)
星期五  第1节--第2节
下院105(1-12周) 陈兵(1-12周)",限土木工程专业                                                                                                                                                                                                                                                      ,2016,2017-2018,2,41,下院105,闵行下院        
